"impacto","circuito","servicio","motivo","solicita","numeroinstalacion","municipio","nombreresponsable","fecha_y_hora_esperada","inicio","fin","horas","estado","fecharegistro","barrio","nombrecontratista","tipoaviso"
Bajo,Ayurá,Agua,Modernización,Unidad Desarrollo de Intervenciones de Inversión,"1071",Envigado,John Fredy Pulgarín Cardona,2022-12-27 08:00:00.000,2022-12-27 20:00:00.000,2022-12-28 08:00:00.000,12.0,ABIERTA,2022-12-05,"Alto de Misael, El Esmeraldal y Zuñiga.",CONTRATISTA CONSORCIO I.E.A ESMERALDAL.,IVR
BAJO,Pan de Azúcar,Agua,Lavado de tanque,"Unidad  Mantenimiento Captaciones, Instalaciones y Redes Primaria","1079",Sabaneta,Jorge Andrés Lora Hoyos,2022-12-01 17:00:00.000,2022-12-01 13:00:00.000,2022-12-01 17:00:00.000,4.0,ABIERTA,2022-11-25,Pan de Azúcar,Contratista: Ingeniería Total Ltda.,IVR
Bajo,Pan de Azúcar,Agua,Modernización,Unidad Desarrollo de Intervenciones de Inversión,"1079",Sabaneta,FABER ESTEBAN GIL ACOSTA,2023-02-14 18:00:00.000,2023-02-14 07:00:00.000,2023-02-14 18:00:00.000,11.0,ABIERTA,2023-02-02,Pan de azucar,CONSORCIO CYC GAAL.,IVR
Bajo,Altavista Sur,Agua,Modernización,Unidad Mantenimiento Redes Secundarias Acueducto,"1082",Medellín,Juan David Muñoz Urrea,2022-12-06 18:00:00.000,2022-12-06 13:00:00.000,2022-12-06 18:00:00.000,5.0,ABIERTA,2022-11-21,"Altavista, La Loma de los Bernal",FM Ingeniería sa.,IVR
Bajo,El Chocho,Agua,Lavado de tanque,"Unidad Mantenimiento Captaciones, Instalaciones y Redes Primarias","1085",Envigado,Jorge Humberto Marin Posada,2023-05-11 04:00:00.000,2023-05-11 20:00:00.000,2023-05-12 04:00:00.000,8.0,ABIERTA,2023-05-02,Municipio De Envigado: El Chingui; Loma De Las Brujas; Loma Del Atravesado.,Contratista: Ingeniería Total Ltda. Auxiliar:,IVR
Alto,Batallón,Agua,Lavado de tanque,"Unidad  Mantenimiento Captaciones, Instalaciones y Redes Primarias","10895",Medellín,Jorge Andrés Lora Hoyos,2023-03-28 04:00:00.000,2023-03-28 22:00:00.000,2023-03-29 04:00:00.000,6.0,ABIERTA,2023-02-24,Municipio Medellín:  Brasilia; Jardín Botánico; Universidad De Antioquia; Sevilla; El Chagualo; Jesús Nazareno; Hospital San Vicente De Paul; Prado; Parque Norte; San Pedro; San Miguel; La Mansión; Manrique Central No. 1; Manrique,Contratista: Ingeniería Total Ltda.,IVR + Plan medios
Alto,Castilla-Centro,Agua,Lavado de tanque,"Unidad Mantenimiento Captaciones, Instalaciones y Redes Primarias","10949",Medellín,Jorge Humberto Marin Posada,2023-06-11 04:00:00.000,2023-06-11 20:00:00.000,2023-06-12 04:00:00.000,8.0,ABIERTA,2023-05-29,Distrito Medellín: Oleoducto; Francisco Antonio Zea; Castilla; Girardot; Plaza De Ferias; Héctor Abad Gomez; Belalcázar; Tricentenario.,Ingeniería Total Ltda.,IVR + Plan medios
Bajo,Pan de Azúcar,Agua,Modernización,Unidad Vinculación y Desarrollos Urbanísticos Aguas,"1095",Sabaneta,Oscar Restrepo Gallego,2023-09-21 15:00:00.000,2023-09-21 10:00:00.000,2023-09-21 15:00:00.000,5.0,ABIERTA,2023-09-12,"San Jose, Cañaveralejo",SERPI SAS.,IVR
Alto,Batallón,Agua,Lavado de tanque,"Unidad Mantenimiento Captaciones, Instalaciones y Redes Primarias","10985",Medellín,Jorge Humberto Marin Posada,2023-09-20 04:00:00.000,2023-09-19 22:00:00.000,2023-09-20 04:00:00.000,6.0,ABIERTA,2023-09-11,Distrito Medellín:  Brasilia; Jardín Botánico; Universidad De Antioquia; Sevilla; El Chagualo; Jesús Nazareno; Hospital San Vicente De Paul; Prado; Parque Norte; San Pedro; San Miguel; La Mansión; Manrique Central No. 1; Manrique ,Ingeniería Total Ltda.,IVR + Plan medios
Bajo,Campestre,Agua,Modernización,Unidad Vinculación y Desarrollos Urbanísticos Provisión Aguas,"11",Medellín,Oscar Restrepo Gallego,2023-07-18 17:00:00.000,2023-07-18 14:00:00.000,2023-07-18 17:00:00.000,3.0,ABIERTA,2023-07-13,Distrito Medellín: El Diamante No. 2,Contratista: Asdrual Zuluaga Aguirre.,Volantes
Bajo,Campestre,Agua,Modernización,Unidad Vinculación y Desarrollo Urbanístico Aguas,"11",Medellín,Oscar Restrepo Gallego,2023-09-22 12:00:00.000,2023-09-22 08:00:00.000,2023-09-22 12:00:00.000,4.0,ABIERTA,2023-09-12,El Diamante NO. 2,Asdrual Zuluaga Aguirre.,Volantes
Bajo,La Ye,Agua,Mantenimiento,"Unidad  Mantenimiento Captaciones, Instalaciones y Redes Primarias","1101",Medellín,Jorge Andrés Lora Hoyos,2023-05-29 16:00:00.000,2023-05-29 13:00:00.000,2023-05-29 16:00:00.000,3.0,ABIERTA,2023-04-25,Distrito Medellín: El Tesoro; Los Balsos No. 1; Los Naranjos; San Lucas.,Contratista: Ingeniería Total Ltda.,IVR
Alto,La Montaña,Agua,Modernización,Dirección Proyectos Sostenimiento Generació,"11113",Medellín,Jorge Humberto Marin Posada,2022-12-01 20:00:00.000,2022-12-01 12:00:00.000,2022-12-01 20:00:00.000,8.0,ABIERTA,2022-11-24,Versalles No. 2 (Sta. Elena); La Cruz (Sta. Elena); Oriente (Sta. Elena); Versalles No. 1; El Raizal; Carpinelo (Sta. Elena); San Jose La Cima No. 1 S.E.; La Avanzada (Sta. Elena); Maria Cano-Carambolas S.E.; San Jose La Cima No. ,Dirección Montajes.,IVR + Plan medios
Alto,La Montaña,Agua,Lavado de tanque,"Unidad Mantenimiento Captaciones, Instalaciones y Redes Primarias","11113",Medellín,Jorge Humberto Marin Posada,2023-02-01 21:00:00.000,2023-02-01 11:00:00.000,2023-02-01 21:00:00.000,10.0,ABIERTA,2023-01-23,Versalles No. 2 (Sta. Elena); La Cruz (Sta. Elena); Oriente (Sta. Elena); Versalles No. 1; El Raizal; Carpinelo (Sta. Elena); San Jose La Cima No. 1 S.E.; La Avanzada (Sta. Elena); Maria Cano-Carambolas S.E.; San Jose La Cima No. ,Contratista: Ingeniería Total Ltda.,IVR + Plan medios
Alto,La Montaña,Agua,Modernización,Dirección Proyectos Sostenimiento Generación,"11113",Medellín,Jorge Humberto Marin Posada,2023-02-09 21:00:00.000,2023-02-09 11:00:00.000,2023-02-09 21:00:00.000,10.0,ABIERTA,2023-01-30,Municipio Medellín: Versalles No. 2; La Cruz; Oriente; Versalles No. 1; El Raizal; Carpinelo; San Jose La Cima No. 1; La Avanzada; Maria Cano-Carambolas; San Jose La Cima No. 2; La Salle; El Compromiso; La Esperanza No. 2; Bello O,"Direccción Montajes. Ingeniero: Hugo León Girón Graciano, celular: 3146782273.",IVR + Plan medios
Medio,Campestre,Agua,Modernización,Unidad Desarrollo de Intervenciones de Inversión,"1117",Medellín,Oscar Restrepo Gallego,2023-08-02 05:00:00.000,2023-08-01 16:00:00.000,2023-08-02 05:00:00.000,13.0,ABIERTA,2023-07-18,Santa Maria de los Angeles,Consorcio CYC GAAL.,IVR
Bajo,Porvenir,Agua,Modernización,Unidad Desarrollo de Intervenciones de Inversión,"112",Medellín,FABER ESTEBAN GIL ACOSTA,2023-01-13 13:00:00.000,2023-01-13 07:00:00.000,2023-01-13 13:00:00.000,6.0,ABIERTA,2022-12-29,Blanquizal,MEGACONSTRUCCIONES Y EQUIPOS SAS.,Volantes
Alto,Pajarito,Agua,Daño,Unidad Mantenimiento Redes Secundarias Acueducto,"11410",Medellín,Juan David Muñoz Urrea,2023-03-27 04:00:00.000,2023-03-27 21:00:00.000,2023-03-28 04:00:00.000,7.0,ABIERTA,2023-03-17,"Nazareth, Pajarito, Santa Margarita",Recurso propio.,IVR + Plan medios
Bajo,El Dorado,Agua,Modernización,Unidad Desarrollo de Intervenciones de Inversión,"1147",Envigado,Juan David Muñoz Urrea,2023-05-11 00:00:00.000,2023-05-11 20:00:00.000,2023-05-12 00:00:00.000,4.0,ABIERTA,2023-04-27,"La Magnolia, Pontevedra",Contratista Consorcio CYC GAAL.,IVR
Bajo,El Dorado,Agua,Modernización,Unidad Desarrollo de Intervenciones de Inversión,"1147",Envigado,Juan David Muñoz Urrea,2023-05-31 00:00:00.000,2023-05-31 20:00:00.000,2023-06-01 00:00:00.000,4.0,ABIERTA,2023-05-23,"La Magnolia, Pontevedra",Contratista Consorcio CYC GAAL.,IVR
Bajo,Campestre,Agua,Modernización,Unidad Desarrollo de Intervenciones de Inversión,"115",Medellín,John Fredy Pulgarín Cardona,2022-12-28 04:00:00.000,2022-12-28 19:00:00.000,2022-12-29 04:00:00.000,9.0,ABIERTA,2022-12-22,Guayabal,GRUCOM.,Volantes
Bajo,Versalles,Agua,Modernización,Unidad Vinculación y Desarrollos Urbanísticos Provisión Aguas,"115",Medellín,John Fredy Pulgarín Cardona,2023-02-17 17:00:00.000,2023-02-17 13:00:00.000,2023-02-17 17:00:00.000,4.0,ABIERTA,2023-02-09,Versalles N° 1,PROING S.A.,Volantes
Bajo,Picacho,Agua,Modernización,Unidad Desarrollo de Intervenciones de Inversión,"118",Medellín,Oscar Restrepo Gallego,2023-08-30 17:00:00.000,2023-08-30 14:00:00.000,2023-08-30 17:00:00.000,3.0,ABIERTA,2023-08-18,"Santander, Doce de Octubre N°1",Contratista: UT Redes AC SMA.,Volantes
Bajo,Bello,Agua,Mantenimiento,Unidad Mantenimiento Redes Secundarias Acueducto,"1183",Bello,Juan David Muñoz Urrea,2023-04-25 17:00:00.000,2023-04-25 13:00:00.000,2023-04-25 17:00:00.000,4.0,ABIERTA,2023-04-13,"Ciudad Niquia, Ciudadela del Norte",Condugas SA.,IVR
ALTO,Cucaracho,Agua,Modernización,"Dirección Proyectos Aguas, Saneamiento, Gas y Locativos","11872",Medellín,Jorge Andrés Lora Hoyos,2022-11-29 02:00:00.000,2022-11-29 16:00:00.000,2022-11-30 02:00:00.000,10.0,ABIERTA,2022-11-15,Santa Margarita; Olaya Herrera; Juan XXIII - La Quiebra; Cucaracho; Nazareth (San Cristóbal); Monteclaro (San Cristóbal); Pajarito (San Cristóbal); Palenque; La Pradera (Medellín),Contratista Redyco SAS.,IVR + Plan medios
Alto,Cucaracho,Agua,Lavado de tanque,"Unidad Mantenimiento Captaciones, Instalaciones y Redes Primarias","11872",Medellín,Jorge Humberto Marin Posada,2023-06-06 03:00:00.000,2023-06-06 21:00:00.000,2023-06-07 03:00:00.000,6.0,ABIERTA,2023-05-29,Distrito Medellín: Santa Margarita; Olaya Herrera; Juan XXIII - La Quiebra; Cucaracho; Nazareth (San Cristóbal); Monteclaro (San Cristóbal); Pajarito (San Cristóbal); Palenque; La Pradera.,Ingeniería Total Ltda.,IVR + Plan medios
Alto,Cucaracho,Agua,Modernización,Unidad Desarrollo Intervenciones de Inversión,"11872",Medellín,Jorge Andrés Lora Hoyos,2023-07-07 05:00:00.000,2023-07-06 13:00:00.000,2023-07-07 05:00:00.000,16.0,ABIERTA,2023-06-09,Distrito Medellín: Santa Margarita; Olaya Herrera; Juan XXIII - La Quiebra; Cucaracho; Nazareth (San Cristóbal); Monteclaro (San Cristóbal); Pajarito (San Cristóbal); Palenque; La Pradera.,Contratista: Consorcio Maper SYE.,IVR + Plan medios
Bajo,Castilla,Agua,Modernización,"Dirección Proyectos Aguas, Saneamiento, Gas y Locativos 2","119",Medellín,Juan David Muñoz Urrea,2023-03-16 18:00:00.000,2023-03-16 12:00:00.000,2023-03-16 18:00:00.000,6.0,ABIERTA,2023-03-06,Girardot,Consorcio REPA.,Volantes
Bajo,Castilla,Agua,Programado,"Dirección Proyectos Aguas, Saneamiento, Gas y Locativos 2","119",Medellín,Juan David Muñoz Urrea,2023-03-16 18:00:00.000,2023-03-16 12:00:00.000,2023-03-16 18:00:00.000,6.0,ABIERTA,2023-03-09,Girardot,Consorcio REPA.,Volantes
Bajo,Altavista Sur,Agua,Modernización,Unidad Desarrollo de Intervenciones de Inversión,"119",Medellín,Juan David Muñoz Urrea,2023-06-23 17:00:00.000,2023-06-23 14:00:00.000,2023-06-23 17:00:00.000,3.0,ABIERTA,2023-06-14,La Gloria,Contratista Consorcio Redes,Volantes
Bajo,Altavista Sur,Agua,Modernización,Unidad Desarrollo de Intervenciones de Inversión,"119",Medellín,Juan David Muñoz Urrea,2023-07-24 19:00:00.000,2023-07-24 14:00:00.000,2023-07-24 19:00:00.000,5.0,ABIERTA,2023-07-13,La Gloria,Consorcio Redes 2020.,Volantes
Alto,Machado,Agua,Lavado de tanque,"Unidad Mantenimiento Captaciones, Instalaciones y Redes Primarias","11962",Bello,Juan David Muñoz Urrea,2023-02-28 04:00:00.000,2023-02-28 20:00:00.000,2023-03-01 04:00:00.000,8.0,ABIERTA,2023-01-20,"Bello: Alcala, Fontidueño, La Camila, La Gabriela, La Vegas, Machado.
Copacabana: Fontidueño, Machado",Contratista: Ingeniería Total Ltda.,IVR + Plan medios
Alto,Machado,Agua,Lavado de tanque,"Unidad  Mantenimiento Captaciones, Instalaciones y Redes Primarias","11962",Bello,Jorge Andrés Lora Hoyos,2023-08-25 04:00:00.000,2023-08-24 20:00:00.000,2023-08-25 04:00:00.000,8.0,ABIERTA,2023-07-25,"Municipio Bello: Epifanio Mejía; Machado; Urb. Cinco Estrellas; La Camila; Fontidueño; Alcalá; Las Vegas; La Gabriela.
Municipio Copacabana: Fontidueño; Machado.",Contratista: Ingeniería Total Ltda.,IVR + Plan medios
Alto,La Montaña,Agua,Modernización,Dirección Proyectos Sostenimiento Generación,"12042",Medellín,Jorge Humberto Marin Posada,2023-03-22 20:00:00.000,2023-03-22 10:00:00.000,2023-03-22 20:00:00.000,10.0,ABIERTA,2023-03-09,Versalles No. 2 (Sta. Elena); La Cruz (Sta. Elena); Oriente (Sta. Elena); Versalles No. 1; El Raizal; Carpinelo (Sta. Elena); San Jose La Cima No. 1 S.E.; La Avanzada (Sta. Elena); Maria Cano-Carambolas S.E.; San Jose La Cima No. ,Dirección Montajes.,IVR + Plan medios
Alto,La Montaña y La Honda,Agua,Lavado de tanque,"Unidad Mantenimiento Captaciones, Instalaciones y Redes Primarias","12042",Medellín,Jorge Humberto Marin Posada,2023-07-05 20:00:00.000,2023-07-05 10:00:00.000,2023-07-05 20:00:00.000,10.0,ABIERTA,2023-06-26,Distrito Medellín: Versalles No. 2; La Cruz; Oriente; Versalles No. 1; El Raizal; Carpinelo; San Jose La Cima No. 1; La Avanzada; Maria Cano-Carambolas; San Jose La Cima No. 2; La Salle; El Compromiso; La Esperanza No. 2;  Bello O,Contratista: Ingeniería Total Ltda.,IVR + Plan medios
Alto,Salvatorianos,Agua,Lavado de tanque,"Unidad Mantenimiento Captaciones, Instalaciones y Redes Primarias","12072",La Estrella,Jorge Humberto Marin Posada,2023-05-16 03:00:00.000,2023-05-16 20:00:00.000,2023-05-17 03:00:00.000,7.0,ABIERTA,2023-05-08,Municipio Itagüí:  Santa Catalina; La Finca; Ditaires; La Palma; Monte Verde; PQ. Cementerio Jardín Montesacro; Malta; Las Brisas; Santa Ana; Glorieta Pilsen; Las Margaritas; Samaria; San Gabriel; Samaria Robles Del Sur; Camparola,Ingeniería Total Ltda.,IVR + Plan medios
Alto,El Tesoro,Agua,Lavado de tanque,"Unidad  Mantenimiento Captaciones, Instalaciones y Redes Primarias","12076",Medellín,Jorge Andrés Lora Hoyos,2023-06-15 04:00:00.000,2023-06-14 22:00:00.000,2023-06-15 04:00:00.000,6.0,ABIERTA,2023-05-25,Distrito Medellín: Los Balsos No. 1; San Lucas; El Tesoro; Los Naranjos; Las Lomas No. 2; Altos Del Poblado; La Asomadera No. 2.,Contratista: Ingeniería Total Ltda.,IVR + Plan medios
Alto,Campo Valdés,Agua,Lavado de tanque,"Unidad Mantenimiento Captaciones, Instalaciones y Redes Primarias","12104",Medellín,Juan David Muñoz Urrea,2023-01-12 04:00:00.000,2023-01-12 21:00:00.000,2023-01-13 04:00:00.000,7.0,ABIERTA,2022-12-29,"Brasilia, Campo Valdes No. 1,  Campo Valdes No. 2, La Piñuela,  Las Esmeraldas, Manrique Central No. 1, Manrique Central No. 2, El Pomar; La Salle, Las Granjas.",Ingeniería Total Ltda.,IVR + Plan medios
Bajo,Paraíso,Agua,Modernización,Unidad Desarrollo de Intervenciones de Inversión,"1212",Caldas,FABER ESTEBAN GIL ACOSTA,2023-01-31 17:00:00.000,2023-01-31 13:00:00.000,2023-01-31 17:00:00.000,4.0,ABIERTA,2023-01-20,Sector 2,Contratista Consorcio REDES 2020.,IVR
Alto,Doce De Octubre,Agua,Lavado de tanque,"Unidad  Mantenimiento Captaciones, Instalaciones y Redes Primarias","12201",Medellín,Jorge Andrés Lora Hoyos,2023-03-02 03:00:00.000,2023-03-02 21:00:00.000,2023-03-03 03:00:00.000,6.0,ABIERTA,2023-02-21,"Municipio Medellín: Aures No. 2; Picacho; Doce De Octubre No. 1; El Progreso No. 2; Mirador Del Doce; Doce De Octubre No. 2; Picachito.
Municipio Bello:  Paris.",Contratista: Ingeniería Total Ltda.,IVR + Plan medios
Alto,Doce De Octubre,Agua,Lavado de tanque,"Unidad Mantenimiento Captaciones, Instalaciones y Redes Primarias","12201",Medellín,Jorge Humberto Marin Posada,2023-08-31 03:00:00.000,2023-08-30 21:00:00.000,2023-08-31 03:00:00.000,6.0,ABIERTA,2023-08-22,"Distrito Medellín: Aures No. 2; Picacho; Doce De Octubre No. 1; El Progreso No. 2; Mirador Del Doce; Doce De Octubre No. 2; Picachito.
Municipio Bello:  Paris.",Contratista: Ingeniería Total Ltda.,IVR + Plan medios
Alto,Miraflores,Agua,Lavado de tanque,"Unidad Mantenimiento Captaciones, Instalaciones y Redes Primarias","12320",Medellín,Jorge Humberto Marin Posada,2023-04-13 04:00:00.000,2023-04-13 22:00:00.000,2023-04-14 04:00:00.000,6.0,ABIERTA,2023-03-28,Municipio Medellín: Miraflores; Alejandro Echavarría; Los Cerros - El Vergel; Bombona No. 2; Barrios De Jesús; Cataluña; Loreto; La Milagrosa.,Contratista: Ingeniería Total Ltda.,IVR + Plan medios
Alto,Campo Valdés,Agua,Modernización,Unidad Desarrollo de Intervenciones de Inversión,"12332",Medellín,Juan David Muñoz Urrea,2023-03-29 00:00:00.000,2023-03-29 08:00:00.000,2023-03-30 00:00:00.000,16.0,ABIERTA,2023-02-24,"Aranjuez, Brasilia, Campo Valdes, La Salle, Las Esmeraldas, Las Granjas, Manrique Central.",Contratista Ingeomega SAS.,IVR + Plan medios
Alto,Campo Valdés,Agua,Lavado de tanque,"Unidad  Mantenimiento Captaciones, Instalaciones y Redes Primarias","12332",Medellín,Jorge Andrés Lora Hoyos,2023-07-12 04:00:00.000,2023-07-11 21:00:00.000,2023-07-12 04:00:00.000,7.0,ABIERTA,2023-06-25,Distrito Medellín: Campo Valdes No. 1; Campo Valdes No. 2; Manrique Central No. 1; La Piñuela; Las Esmeraldas; Manrique Central No. 2; El Pomar; La Salle; Las Granjas.,Contratista: Ingeniería Total Ltda.,IVR + Plan medios
Alto,Yulimar,Agua,Lavado de tanque,"Unidad Mantenimiento Captaciones, Instalaciones y Redes Primarias","12435",Bello,Jorge Humberto Marin Posada,2023-05-08 15:00:00.000,2023-05-08 09:00:00.000,2023-05-08 15:00:00.000,6.0,ABIERTA,2023-05-02,Municipio Bello: Bellavista; Pachelly; San Gabriel; Playa Rica; Primavera; Urapanes; San Martin; Villa Del Sol.,Contratista: Ingeniería Total Ltda.,IVR + Plan medios
Bajo,América,Agua,Mantenimiento,Unidad Mantenimiento Redes Secundarias Acueducto,"126",Medellín,Juan David Muñoz Urrea,2023-02-09 18:00:00.000,2023-02-09 13:00:00.000,2023-02-09 18:00:00.000,5.0,ABIERTA,2023-01-31,"América, Simón Bolívar.",Contratista FM Ingeniería sa.,Volantes
Bajo,Altavista Sur,Agua,Modernización,Unidad Desarrollo de Intervenciones de Inversió,"1269",Medellín,Juan David Muñoz Urrea,2022-11-30 17:00:00.000,2022-11-30 14:00:00.000,2022-11-30 17:00:00.000,3.0,ABIERTA,2022-11-22,"Las Playas, Diego Echavarria.",Contratista Consorcio Redes 2020.,IVR
Bajo,Altavista Sur,Agua,Modernización,Unidad Desarrollo de Intervenciones de Inversión,"129",Medellín,Juan David Muñoz Urrea,2023-04-20 17:00:00.000,2023-04-20 14:00:00.000,2023-04-20 17:00:00.000,3.0,ABIERTA,2023-04-04,La Gloria,Contratista Consorcio Redes 2020.,Volantes
Bajo,Belencito,Agua,Modernización,Unidad Desarrollo de Intervenciones de Inversión,"1296",Medellín,Juan David Muñoz Urrea,2023-06-07 04:00:00.000,2023-06-07 20:00:00.000,2023-06-08 04:00:00.000,8.0,ABIERTA,2023-05-24,"Juan XXIII-La Quiebra, La Pradera, Los Alcazares, San Javier #2.",Contratista UT Redes AC SMA.,IVR
Bajo,Campestre,Agua,Mantenimiento,Unidad Mantenimiento Redes Secundarias Acueducto,"13",Medellín,Juan David Muñoz Urrea,2023-05-21 01:00:00.000,2023-05-21 12:00:00.000,2023-05-22 01:00:00.000,13.0,ABIERTA,2023-04-28,Santa María de los Angeles,Consorcio CyC.,Volantes
